index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
102,QBJPVdhStNU,대문자T 수의사도 울린 고양이 영화 ‘플로우’ 리뷰,851.0,14.18,https://www.youtube.com/watch?v=QBJPVdhStNU,False,건강/진료
103,sm4wHTnYKKo,훈련이라고요? 솔직히 학대 맞습니다 ‘고양이 괴롭히는 최악의 제품’,458.0,7.63,https://www.youtube.com/watch?v=sm4wHTnYKKo,False,기타/엔터테인먼트
104,Ud_DwnaWh3s,습식은 사치라고? 후회할 날이 올 수도 있습니다,463.0,7.72,https://www.youtube.com/watch?v=Ud_DwnaWh3s,False,기타/엔터테인먼트
105,E6Elew3FObo,고양이가 건방진 이유,385.0,6.42,https://www.youtube.com/watch?v=E6Elew3FObo,False,기타/엔터테인먼트
106,NS3gXEIAemk,고양이는 만지는 걸 싫어한다? 집사 2천명이 답한 의외의 결과 | 미야옹서베이,644.0,10.73,https://www.youtube.com/watch?v=NS3gXEIAemk,False,생활/돌봄
107,KGJv3w3PvsM,챗GPT의 충격적인 고양이 행동분석 결과,475.0,7.92,https://www.youtube.com/watch?v=KGJv3w3PvsM,False,행동/감정
108,vHk_T9-Nhm0,아무리 졸라도 고양이 밥 시간을 정해야 하는 이유ㅣ집사메이커 lv.12,254.0,4.23,https://www.youtube.com/watch?v=vHk_T9-Nhm0,False,생활/돌봄
109,9VUSbaO9MGU,고양이랑 화해하는 법,442.0,7.37,https://www.youtube.com/watch?v=9VUSbaO9MGU,False,기타/엔터테인먼트
110,qLZfPKeCkMg,고양이 수명은 운명일까? 20년 이상 사는 장수냥의 비밀,384.0,6.4,https://www.youtube.com/watch?v=qLZfPKeCkMg,False,기타/엔터테인먼트
111,8xZxyHbhXpY,고양이는 집사의 이름과 호칭을 구별할 수 있을까?,305.0,5.08,https://www.youtube.com/watch?v=8xZxyHbhXpY,False,생활/돌봄
112,jayXEqGstSI,집사에게만 있고 고양이에게는 없는 감정,511.0,8.52,https://www.youtube.com/watch?v=jayXEqGstSI,False,생활/돌봄
113,2AnC2B8CJwg,하악질도 옮을 수 있나요?🙀하악질 전염설!,602.0,10.03,https://www.youtube.com/watch?v=2AnC2B8CJwg,False,기타/엔터테인먼트
114,cyOUZCNu7fU,고양이 둘이 싸웠습니다,314.0,5.23,https://www.youtube.com/watch?v=cyOUZCNu7fU,False,기타/엔터테인먼트
115,kIoTejUGyUo,고양이가 우다다를 하는 놀라운 이유,418.0,6.97,https://www.youtube.com/watch?v=kIoTejUGyUo,False,행동/감정
116,srryRDkUuGk,이렇게 하면 안놀수 없습니다 [고양이 사냥놀이 완전판],1238.0,20.63,https://www.youtube.com/watch?v=srryRDkUuGk,False,생활/돌봄
117,KVfFxPBqC1U,집사들이 대단히 착각하는 6가지,354.0,5.9,https://www.youtube.com/watch?v=KVfFxPBqC1U,False,생활/돌봄
118,if4J19pJUUU,"성우 VS 수의사, 누가 더 고양이 흉내를 잘 낼까?ㅣ고양식탁 쓰복만 편",1054.0,17.57,https://www.youtube.com/watch?v=if4J19pJUUU,False,건강/진료
119,zw4rUvs3FLs,수의사가 알려주는 정확한 ‘고양이 심폐소생술’,472.0,7.87,https://www.youtube.com/watch?v=zw4rUvs3FLs,False,건강/진료
120,zu7EJZUxIeY,이 나이 때 놓치면 안 되는 것이 있습니다🌾(냥생황금기),521.0,8.68,https://www.youtube.com/watch?v=zu7EJZUxIeY,False,기타/엔터테인먼트
121,x4m8hnK4mIw,악귀야 물러가라! 간헐적개냥이 환타콜라 퇴마 통역,558.0,9.3,https://www.youtube.com/watch?v=x4m8hnK4mIw,False,기타/엔터테인먼트
122,MEd8Z4Ji1vM,"수의사는 진짜 이럴까? 고양이 안정제에 대한 오해, 합사 기준 등 집사고민 총출동!",720.0,12.0,https://www.youtube.com/watch?v=MEd8Z4Ji1vM,False,행동/감정;건강/진료;생활/돌봄
123,rFRaI3lyRvE,고양이 쓰다듬다가 물리는 이유(핥다가 깨무는 이유),476.0,7.93,https://www.youtube.com/watch?v=rFRaI3lyRvE,False,기타/엔터테인먼트
124,tdWiZTc4ssk,수의사가 추천하는 고양이 교육🧑‍🏫,462.0,7.7,https://www.youtube.com/watch?v=tdWiZTc4ssk,False,건강/진료
125,me4GI50npSU,고양이는 계획이 다 있구나...고양이의 하루ㅣ집사메이커 lv.11,221.0,3.68,https://www.youtube.com/watch?v=me4GI50npSU,False,생활/돌봄
126,nVUIbn5B-yU,"[4K] 얼굴도 얼굴이지만, 얼굴도 얼굴인 고양이",455.0,7.58,https://www.youtube.com/watch?v=nVUIbn5B-yU,False,기타/엔터테인먼트
127,w1T1TmGdcbE,"고양이와 딱 한 마디만 할 수 있다면, 무슨 말을 하시겠습니까?(고양이 건강 체크리스트)",574.0,9.57,https://www.youtube.com/watch?v=w1T1TmGdcbE,False,건강/진료
128,8gm1NKpNVPk,이 고양이들이 인터넷을 터뜨린 이유🔥ㅣ밈야옹철의 짤밈분석,482.0,8.03,https://www.youtube.com/watch?v=8gm1NKpNVPk,False,기타/엔터테인먼트
